주소2,주소3,안전,여가,식당,의료,마트,편의 시설,대중교통,행정동코드
구로구,구로4동,59,30,53,55,48,37,34,11170550
구로구,구로5동,56,38,38,34,40,27,37,11170560
구로구,수궁동,55,23,23,23,26,23,31,11170690
구로구,신도림동,55,28,27,29,31,24,32,11170510
구로구,오류1동,57,31,32,40,45,33,32,11170670
구로구,오류2동,55,24,24,23,26,22,31,11170730
구로구,항동,55,27,23,25,29,22,33,11170740
금천구,가산동,41,33,40,28,52,37,48,11180510
금천구,독산1동,41,27,29,25,34,27,37,11180520
금천구,독산2동,44,26,35,34,36,25,27,11180530
금천구,독산3동,43,27,36,32,35,27,32,11180540
금천구,독산4동,44,28,35,30,34,27,33,11180550
금천구,시흥1동,42,32,34,30,34,28,33,11180570
금천구,시흥2동,41,22,22,24,21,21,30,11180580
금천구,시흥3동,41,24,25,25,26,25,29,11180590
금천구,시흥4동,42,23,26,28,27,25,34,11180600
금천구,시흥5동,42,24,27,26,29,23,35,11180610
노원구,공릉1동,72,29,37,32,38,26,38,11110790
노원구,공릉2동,68,24,24,22,24,21,25,11110560
노원구,상계10동,68,23,22,29,24,23,36,11110740
노원구,상계1동,68,25,24,22,25,22,23,11110650
노원구,상계2동,74,38,55,45,53,24,42,11110660
노원구,상계3·4동,68,23,22,22,22,21,22,11110760
노원구,상계5동,73,29,32,31,33,23,34,11110690
노원구,상계6·7동,70,32,30,38,33,35,34,11110770
노원구,상계8동,69,25,24,33,27,24,29,11110720
노원구,상계9동,68,24,23,31,29,24,31,11110730
노원구,월계1동,72,28,31,30,36,24,41,11110510
노원구,월계2동,69,22,23,25,26,21,32,11110520
노원구,월계3동,68,22,23,27,30,22,31,11110530
노원구,중계1동,69,28,27,38,38,27,34,11110610
노원구,중계2·3동,69,27,26,32,30,25,38,11110780
노원구,중계4동,69,28,26,26,25,23,21,11110640
노원구,중계본동,69,27,25,25,25,22,25,11110600
노원구,하계1동,69,25,25,26,27,23,31,11110580
노원구,하계2동,68,21,23,33,28,22,42,11110590
도봉구,도봉1동,60,24,25,21,23,21,25,11100640
도봉구,도봉2동,60,26,29,30,31,26,49,11100650
도봉구,방학1동,60,40,48,41,44,34,43,11100550
도봉구,방학2동,60,23,31,30,34,21,36,11100560
도봉구,방학3동,60,24,22,23,24,21,26,11100570
도봉구,쌍문1동,60,26,26,26,29,22,40,11100510
도봉구,쌍문2동,60,33,37,40,39,26,34,11100520
도봉구,쌍문3동,60,34,34,37,41,27,35,11100530
도봉구,쌍문4동,60,24,25,33,32,21,36,11100540
도봉구,창1동,60,28,30,30,31,23,33,11100590
도봉구,창2동,60,26,28,28,32,23,32,11100600
도봉구,창3동,60,26,33,33,32,22,31,11100610
도봉구,창4동,60,27,26,31,28,24,41,11100620
도봉구,창5동,60,35,36,36,39,29,33,11100630
동대문구,답십리1동,55,27,32,40,38,29,37,1160910
동대문구,답십리2동,56,29,31,38,38,32,31,1160860
동대문구,용신동,55,28,35,32,41,31,34,1160810
동대문구,이문1동,55,27,34,34,36,27,34,1160890
동대문구,이문2동,55,22,26,36,30,26,28,1160900
동대문구,장안1동,56,34,39,35,43,30,30,1160870
동대문구,장안2동,55,34,39,37,43,28,35,1160880
동대문구,전농1동,55,26,35,32,33,27,34,1160830
동대문구,전농2동,55,26,27,34,29,24,27,1160840
동대문구,제기동,56,27,37,38,35,31,32,1160820
동대문구,청량리동,55,27,30,34,28,27,31,1160800
동대문구,회기동,55,30,42,34,39,29,26,1160710
동대문구,휘경1동,55,28,31,41,42,28,31,1160720
동대문구,휘경2동,55,25,27,30,31,23,28,1160730
동작구,노량진1동,61,27,30,26,33,25,39,11200720
동작구,노량진2동,62,26,34,31,36,33,31,11200520
동작구,대방동,61,27,28,28,33,24,39,11200680
동작구,사당1동,62,30,41,34,41,28,29,11200630
동작구,사당2동,61,24,26,24,25,22,27,11200730
동작구,사당3동,61,26,26,27,30,22,35,11200650
